id,prompt,response
1,"Translate to French: Good morning.","Bonjour."
2,"Translate to French: Where is the train station?","Où est la gare ?"
3,"Translate to Spanish: I would like a coffee, please.","Quisiera un café, por favor."
4,"Translate to Spanish: How much does this cost?","¿Cuánto cuesta esto?"
5,"Summarize in one sentence: Photosynthesis is the process by which green plants use sunlight, water, and carbon dioxide to produce oxygen and glucose, providing the energy that drives most life on Earth.","Plants convert sunlight, water, and CO2 into oxygen and glucose, fueling most life on Earth."
6,"Summarize in one sentence: The Apollo 11 mission, launched on July 16, 1969, was the first crewed spaceflight to land humans on the Moon, with Neil Armstrong and Buzz Aldrin walking on the lunar surface while Michael Collins orbited above.","Apollo 11 landed Armstrong and Aldrin on the Moon in July 1969 while Collins orbited overhead."
7,"What is the capital of Japan?","Tokyo."
8,"What is the capital of Australia?","Canberra."
9,"What is the chemical symbol for gold?","Au."
10,"What is the chemical symbol for iron?","Fe."
11,"Write a haiku about autumn leaves.","Crimson leaves drift down / silent on the cold gray stones / autumn breathes goodbye"
12,"Write a haiku about morning coffee.","Steam curls from the cup / dawn light warms the kitchen tile / day begins again"
13,"Convert to JSON: name is Ada, age is 36, role is engineer.","{""name"": ""Ada"", ""age"": 36, ""role"": ""engineer""}"
14,"Convert to JSON: city is Kyoto, country is Japan, population is 1500000.","{""city"": ""Kyoto"", ""country"": ""Japan"", ""population"": 1500000}"
15,"Explain like I am five: what is gravity?","Gravity is what pulls everything down toward the ground, like when you drop a ball and it falls."
16,"Explain like I am five: what is the sun?","The sun is a giant ball of hot, glowing gas in the sky that gives us light and warmth during the day."
